OWNER_NAME,Borough,Latitude,Longitude
FKAL 49 ANN STREET LLC,MANHATTAN,40.710306,-74.006828
BEEKMAN GROUND TENANT LLC,MANHATTAN,40.71055,-74.005771
BEEKMAN GROUND TENANT LLC,MANHATTAN,40.71055,-74.005771
BEEKMAN GROUND TENANT LLC,MANHATTAN,40.71055,-74.005771
"SEAPORT HOSPITALITY,  LLC",MANHATTAN,40.709021,-74.002272
"HHC 33 PECK SLIP HOLDINGS, LLC",MANHATTAN,40.707962,-74.001706
30 PARK PLACE HOTEL LLC,MANHATTAN,40.712987,-74.008686
85 W BROADWAY PROPCO LLC,MANHATTAN,40.715205,-74.009476
95 WEST BROADWAY HOLDINGS LLC,MANHATTAN,40.715309,-74.008755
5444 ASSOCS.,MANHATTAN,40.716114,-74.00737
RICE BOWL REALTY CORP,MANHATTAN,40.715002,-73.999628
CORAL LAFAYETTE LLC,MANHATTAN,40.716968,-74.001883
377 GREENWICH LLC C/O,MANHATTAN,40.719783,-74.010227
TRIBECA ACQUISITION RLTY CORP,MANHATTAN,40.719128,-74.005166
BRIDGETON 396 BROADWAY FEE LLC,MANHATTAN,40.718488,-74.002644
KING FOOK REALTY CORP,MANHATTAN,40.719358,-74.001905
218 HOLDING INC,MANHATTAN,40.718096,-74.001331
"50 BOWERY HOLDINGS, LLC",MANHATTAN,40.715763,-73.996378
BOWERY 88 LLC,MANHATTAN,40.717322,-73.99557
CRI 11 HOWARD STREET LLC,MANHATTAN,40.719084,-73.999953
TAI FOOK CORP,MANHATTAN,40.718516,-74.000635
TRIBECA ASCOTT LLC,MANHATTAN,40.721,-74.004152
YORK STREET LLC,MANHATTAN,40.721068,-74.005758
JDH INC,MANHATTAN,40.721634,-74.004412
THOR JAMES HOTEL INVESTOR LLC,MANHATTAN,40.722827,-74.004726
"9 CROSBY, LLC",MANHATTAN,40.719904,-74.000307
"SOLITA SOHO HOTEL, LLC",MANHATTAN,40.719891,-73.998759
"HANBEE REALTY,",MANHATTAN,40.718128,-73.994993
CHUNKIEN REALTY CORP,MANHATTAN,40.717821,-73.995155
USA SENWELL FUND MANAGEMENT LLC,MANHATTAN,40.712433,-73.992732
LUCKY MOTT REALTY CO,MANHATTAN,40.712875,-73.998586
PCK REALTY INC,MANHATTAN,40.713149,-73.992984
"DRAGON REALTY, LLC",MANHATTAN,40.713761,-73.993666
"LO,DAVID",MANHATTAN,40.714299,-73.993723
94 CANAL REALTY LLC,MANHATTAN,40.715389,-73.993536
RICHLAND HOLDING LLC,MANHATTAN,40.714771,-73.992656
"NINE ORCHARD PARTNERS, LLC",MANHATTAN,40.715018,-73.992313
"93 BOWERY HOLDINGS, LLC",MANHATTAN,40.717132,-73.995505
"LBW ENTERPRISES, LLC.",MANHATTAN,40.716525,-73.994647
CANAL BRIDGE REALTYINC.,MANHATTAN,40.715916,-73.995127
SU SU REALTY CORP,MANHATTAN,40.717607,-73.995245
125 BOWERY INC,MANHATTAN,40.718403,-73.994665
ELDRIDGE HOTEL LLC,MANHATTAN,40.717044,-73.992547
SC DELANCEY LLC,MANHATTAN,40.717969,-73.986458
UNAVAILABLE OWNER,MANHATTAN,40.718559,-73.99
UNAVAILABLE OWNER,MANHATTAN,40.718559,-73.99
THE DOWNTOWN LLC,MANHATTAN,40.719967,-73.988023
101 LUDLOW STREET CONDOMINIUM,MANHATTAN,40.719111,-73.988864
LUDLOW STREET HOSPITALITY LLC,MANHATTAN,40.720362,-73.9882
180 LUDLOW DEVELOPMENT LLC,MANHATTAN,40.721811,-73.987467
MRRDIGO LLC,MANHATTAN,40.721853,-73.988304
88 ALLEN REALTY LLC,MANHATTAN,40.718095,-73.990938
ALLEN STREET OWNER LLC,MANHATTAN,40.720041,-73.98926
"119 ORCHARD PROPERTY, INC.",MANHATTAN,40.719454,-73.98956
"NADICO HOSPITALITY, LLC",MANHATTAN,40.721043,-73.988748
OK HOUSTON HOTEL LLC,MANHATTAN,40.723137,-73.989303
ALLEN FEE OWNER LLC,MANHATTAN,40.722248,-73.988899
SARA PARK MANAGEMENT INC,MANHATTAN,40.718707,-73.99268
J&N HOTEL ASSOCIATES LLC,MANHATTAN,40.723382,-73.990144
ANCHOR REALTY CORP,MANHATTAN,40.719051,-73.994553
OSIB-BCRE BOWERY STREET HOLDINGS LLC,MANHATTAN,40.720741,-73.993864
AGAWANI INTERNATIONAL INC,MANHATTAN,40.721337,-73.992561
225 BOWERY LLC,MANHATTAN,40.721949,-73.993402
"HARLEN SALES CO.,INC.",MANHATTAN,40.722748,-73.993106
UNAVAILABLE OWNER,MANHATTAN,40.722786,-73.991464
MIDON REALTY CORP,MANHATTAN,40.728269,-73.984803
321 BOWERY,MANHATTAN,40.725465,-73.991879
WOODCUTTERS REALTY CORP.,MANHATTAN,40.726047,-73.991908
33 COOPER SQUARE ASSOCIATES LLC,MANHATTAN,40.727751,-73.9912
COOPER AND 6TH PROPERTY LLC,MANHATTAN,40.728171,-73.990897
NEW YORK UNIVERSITY,MANHATTAN,40.72821,-73.988689
2 ST.MARKS PL HOTELCP.,MANHATTAN,40.72928,-73.990085
COOPER UNION ADVANCEMENT OF SCIENCE & AR T,MANHATTAN,40.729793,-73.989703
NEW YORK UNIVERSITY,MANHATTAN,40.729807,-73.989692
NEW YORK UNIVERSITY,MANHATTAN,40.731415,-73.988533
9876 BOWERY REALTY CORP,MANHATTAN,40.719251,-73.994495
"142 EMMUT PROPERTIES, LLC",MANHATTAN,40.719018,-73.994589
196 GRAND LLC,MANHATTAN,40.719193,-73.996883
UNAVAILABLE OWNER,MANHATTAN,40.721524,-73.999278
SOHO 54 LLC.,MANHATTAN,40.723687,-74.005372
"153 ELIZABETH STREET, LLC",MANHATTAN,40.720687,-73.995173
CORAL BROOME STREET LLC,MANHATTAN,40.720733,-73.997388
THOMPSON STREET ASSOCIATES,MANHATTAN,40.724183,-74.003196
BAYROCK/SAPIR ORGANIZATION LLC,MANHATTAN,40.725616,-74.005253
BAYROCK/SAPIR ORGANIZATION LLC,MANHATTAN,40.725616,-74.005253
BAYROCK/SAPIR ORGANIZATION LLC,MANHATTAN,40.725616,-74.005253
BAYROCK/SAPIR ORGANIZATION LLC,MANHATTAN,40.725616,-74.005253
SOHO 902 CORP.,MANHATTAN,40.725616,-74.005253
BAYROCK/SAPIR ORGANIZATION LLC,MANHATTAN,40.725616,-74.005253
BAYROCK/SAPIR ORGANIZATION LLC,MANHATTAN,40.725616,-74.005253
BAYROCK/SAPIR ORGANIZATION LLC,MANHATTAN,40.725616,-74.005253
BAYROCK/SAPIR ORGANIZATION LLC,MANHATTAN,40.725616,-74.005253
BAYROCK/SAPIR ORGANIZATION LLC,MANHATTAN,40.725616,-74.005253
BAYROCK/SAPIR ORGANIZATION LLC,MANHATTAN,40.725616,-74.005253
BAYROCK/SAPIR ORGANIZATION LLC,MANHATTAN,40.725616,-74.005253
BAYROCK/SAPIR ORGANIZATION LLC,MANHATTAN,40.725616,-74.005253
BAYROCK/SAPIR ORGANIZATION LLC,MANHATTAN,40.725616,-74.005253
BAYROCK/SAPIR ORGANIZATION LLC,MANHATTAN,40.725616,-74.005253
RIVA RIDGE LTD,MANHATTAN,40.725616,-74.005253
BAYROCK/SAPIR ORGANIZATION LLC,MANHATTAN,40.725616,-74.005253
BAYROCK/SAPIR ORGANIZATION LLC,MANHATTAN,40.725616,-74.005253
BAYROCK/SAPIR ORGANIZATION LLC,MANHATTAN,40.725616,-74.005253
"246 SPRING STREET NY, LLC",MANHATTAN,40.725616,-74.005253
BAYROCK/SAPIR ORGANIZATION LLC,MANHATTAN,40.725616,-74.005253
BAYROCK/SAPIR ORGANIZATION LLC,MANHATTAN,40.725616,-74.005253
BAYROCK/SAPIR ORGANIZATION LLC,MANHATTAN,40.725616,-74.005253
BAYROCK/SAPIR ORGANIZATION LLC,MANHATTAN,40.725616,-74.005253
BAYROCK/SAPIR ORGANIZATION LLC,MANHATTAN,40.725616,-74.005253
BAYROCK/SAPIR ORGANIZATION LLC,MANHATTAN,40.725616,-74.005253
BAYROCK/SAPIR ORGANIZATION LLC,MANHATTAN,40.725616,-74.005253
SOHO 1102 CORP.,MANHATTAN,40.725616,-74.005253
BAYROCK/SAPIR ORGANIZATION LLC,MANHATTAN,40.725616,-74.005253
DUNDEE INVEST LLC,MANHATTAN,40.725616,-74.005253
BAYROCK/SAPIR ORGANIZATION LLC,MANHATTAN,40.725616,-74.005253
BAYROCK/SAPIR ORGANIZATION LLC,MANHATTAN,40.725616,-74.005253
BAYROCK/SAPIR ORGANIZATION LLC,MANHATTAN,40.725616,-74.005253
BAYROCK/SAPIR ORGANIZATION LLC,MANHATTAN,40.725616,-74.005253
BAYROCK/SAPIR ORGANIZATION LLC,MANHATTAN,40.725616,-74.005253
BAYROCK/SAPIR ORGANIZATION LLC,MANHATTAN,40.725616,-74.005253
HA TRUONG LLC,MANHATTAN,40.725616,-74.005253
BAYROCK/SAPIR ORGANIZATION LLC,MANHATTAN,40.725616,-74.005253
BAYROCK/SAPIR ORGANIZATION LLC,MANHATTAN,40.725616,-74.005253
SOHO 1202 CORP.,MANHATTAN,40.725616,-74.005253
BAYROCK/SAPIR ORGANIZATION LLC,MANHATTAN,40.725616,-74.005253
"HOUSING IMON CO., LTD.",MANHATTAN,40.725616,-74.005253
BAYROCK/SAPIR ORGANIZATION LLC,MANHATTAN,40.725616,-74.005253
BAYROCK/SAPIR ORGANIZATION LLC,MANHATTAN,40.725616,-74.005253
BAYROCK/SAPIR ORGANIZATION LLC,MANHATTAN,40.725616,-74.005253
BAYROCK/SAPIR ORGANIZATION LLC,MANHATTAN,40.725616,-74.005253
BAYROCK/SAPIR ORGANIZATION LLC,MANHATTAN,40.725616,-74.005253
BAYROCK/SAPIR ORGANIZATION LLC,MANHATTAN,40.725616,-74.005253
BAYROCK/SAPIR ORGANIZATION LLC,MANHATTAN,40.725616,-74.005253
BAYROCK/SAPIR ORGANIZATION LLC,MANHATTAN,40.725616,-74.005253
BAYROCK/SAPIR ORGANIZATION LLC,MANHATTAN,40.725616,-74.005253
SOHO 1402 LLC,MANHATTAN,40.725616,-74.005253
SOHO 1403 LLC,MANHATTAN,40.725616,-74.005253
SOHO 1404 LLC,MANHATTAN,40.725616,-74.005253
BAYROCK/SAPIR ORGANIZATION LLC,MANHATTAN,40.725616,-74.005253
"DUBOFF, MINDY",MANHATTAN,40.725616,-74.005253
BAYROCK/SAPIR ORGANIZATION LLC,MANHATTAN,40.725616,-74.005253
BAYROCK/SAPIR ORGANIZATION LLC,MANHATTAN,40.725616,-74.005253
BAYROCK/SAPIR ORGANIZATION LLC,MANHATTAN,40.725616,-74.005253
BAYROCK/SAPIR ORGANIZATION LLC,MANHATTAN,40.725616,-74.005253
BAYROCK/SAPIR ORGANIZATION LLC,MANHATTAN,40.725616,-74.005253
BAYROCK/SAPIR ORGANIZATION LLC,MANHATTAN,40.725616,-74.005253
BAYROCK/SAPIR ORGANIZATION LLC,MANHATTAN,40.725616,-74.005253
"TASD PROPERTIES, LLC",MANHATTAN,40.725616,-74.005253
NEWMONT SOHO LLC,MANHATTAN,40.725616,-74.005253
"TJSD PROPERTIES, LLC",MANHATTAN,40.725616,-74.005253
BAYROCK/SAPIR ORGANIZATION LLC,MANHATTAN,40.725616,-74.005253
BSP MATARAZZO GROUP LLC,MANHATTAN,40.725616,-74.005253
BAYROCK/SAPIR ORGANIZATION LLC,MANHATTAN,40.725616,-74.005253
BAYROCK/SAPIR ORGANIZATION LLC,MANHATTAN,40.725616,-74.005253
BAYROCK/SAPIR ORGANIZATION LLC,MANHATTAN,40.725616,-74.005253
BAYROCK/SAPIR ORGANIZATION LLC,MANHATTAN,40.725616,-74.005253
BAYROCK/SAPIR ORGANIZATION LLC,MANHATTAN,40.725616,-74.005253
BAYROCK/SAPIR ORGANIZATION LLC,MANHATTAN,40.725616,-74.005253
BAYROCK/SAPIR ORGANIZATION LLC,MANHATTAN,40.725616,-74.005253
SOHO 1602 OWNER LLC,MANHATTAN,40.725616,-74.005253
BAYROCK/SAPIR ORGANIZATION LLC,MANHATTAN,40.725616,-74.005253
BAYROCK/SAPIR ORGANIZATION LLC,MANHATTAN,40.725616,-74.005253
BAYROCK/SAPIR ORGANIZATION LLC,MANHATTAN,40.725616,-74.005253
BAYROCK/SAPIR ORGANIZATION LLC,MANHATTAN,40.725616,-74.005253
BAYROCK/SAPIR ORGANIZATION LLC,MANHATTAN,40.725616,-74.005253
BAYROCK/SAPIR ORGANIZATION LLC,MANHATTAN,40.725616,-74.005253
BAYROCK/SAPIR ORGANIZATION LLC,MANHATTAN,40.725616,-74.005253
BAYROCK/SAPIR ORGANIZATION LLC,MANHATTAN,40.725616,-74.005253
BAYROCK/SAPIR ORGANIZATION LLC,MANHATTAN,40.725616,-74.005253
BAYROCK/SAPIR ORGANIZATION LLC,MANHATTAN,40.725616,-74.005253
BAYROCK/SAPIR ORGANIZATION LLC,MANHATTAN,40.725616,-74.005253
"FAMILY HOME ONE, LLC",MANHATTAN,40.725616,-74.005253
BAYROCK/SAPIR ORGANIZATION LLC,MANHATTAN,40.725616,-74.005253
BAYROCK/SAPIR ORGANIZATION LLC,MANHATTAN,40.725616,-74.005253
BAYROCK/SAPIR ORGANIZATION LLC,MANHATTAN,40.725616,-74.005253
BAYROCK/SAPIR ORGANIZATION LLC,MANHATTAN,40.725616,-74.005253
BAYROCK/SAPIR ORGANIZATION LLC,MANHATTAN,40.725616,-74.005253
BAYROCK/SAPIR ORGANIZATION LLC,MANHATTAN,40.725616,-74.005253
BAYROCK/SAPIR ORGANIZATION LLC,MANHATTAN,40.725616,-74.005253
BAYROCK/SAPIR ORGANIZATION LLC,MANHATTAN,40.725616,-74.005253
BAYROCK/SAPIR ORGANIZATION LLC,MANHATTAN,40.725616,-74.005253
"246 SPRING STREET NY, LLC",MANHATTAN,40.725616,-74.005253
"246 SPRING STREET NY, LLC",MANHATTAN,40.725616,-74.005253
BAYROCK/SAPIR ORGANIZATION LLC,MANHATTAN,40.725616,-74.005253
BAYROCK/SAPIR ORGANIZATION LLC,MANHATTAN,40.725616,-74.005253
BAYROCK/SAPIR ORGANIZATION LLC,MANHATTAN,40.725616,-74.005253
BAYROCK/SAPIR ORGANIZATION LLC,MANHATTAN,40.725616,-74.005253
"246 SPRING STREET NY, LLC",MANHATTAN,40.725616,-74.005253
BAYROCK/SAPIR ORGANIZATION LLC,MANHATTAN,40.725616,-74.005253
BAYROCK/SAPIR ORGANIZATION LLC,MANHATTAN,40.725616,-74.005253
BAYROCK/SAPIR ORGANIZATION LLC,MANHATTAN,40.725616,-74.005253
BAYROCK/SAPIR ORGANIZATION LLC,MANHATTAN,40.725616,-74.005253
BAYROCK/SAPIR ORGANIZATION LLC,MANHATTAN,40.725616,-74.005253
BAYROCK/SAPIR ORGANIZATION LLC,MANHATTAN,40.725616,-74.005253
BAYROCK/SAPIR ORGANIZATION LLC,MANHATTAN,40.725616,-74.005253
TSOHO 1902 CORP.,MANHATTAN,40.725616,-74.005253
SOHO 1903 CORP.,MANHATTAN,40.725616,-74.005253
SOHO 1904 CORP.,MANHATTAN,40.725616,-74.005253
SOHO 1905 LLC,MANHATTAN,40.725616,-74.005253
LAM GENERATION LLC,MANHATTAN,40.725616,-74.005253
BAYROCK/SAPIR ORGANIZATION LLC,MANHATTAN,40.725616,-74.005253
"246 SPRING STREET NY, LLC",MANHATTAN,40.725616,-74.005253
BAYROCK/SAPIR ORGANIZATION LLC,MANHATTAN,40.725616,-74.005253
BAYROCK/SAPIR ORGANIZATION LLC,MANHATTAN,40.725616,-74.005253
BAYROCK/SAPIR ORGANIZATION LLC,MANHATTAN,40.725616,-74.005253
BAYROCK/SAPIR ORGANIZATION LLC,MANHATTAN,40.725616,-74.005253
BAYROCK/SAPIR ORGANIZATION LLC,MANHATTAN,40.725616,-74.005253
"STAGES CONSULTING, INC.",MANHATTAN,40.725616,-74.005253
"CHUNG, YUNHEE",MANHATTAN,40.725616,-74.005253
2019 SPRING CONDO LLC,MANHATTAN,40.725616,-74.005253
BAYROCK/SAPIR ORGANIZATION LLC,MANHATTAN,40.725616,-74.005253
BAYROCK/SAPIR ORGANIZATION LLC,MANHATTAN,40.725616,-74.005253
BAYROCK/SAPIR ORGANIZATION LLC,MANHATTAN,40.725616,-74.005253
BAYROCK/SAPIR ORGANIZATION LLC,MANHATTAN,40.725616,-74.005253
BAYROCK/SAPIR ORGANIZATION LLC,MANHATTAN,40.725616,-74.005253
BAYROCK/SAPIR ORGANIZATION LLC,MANHATTAN,40.725616,-74.005253
"246 SPRING STREET NY, LLC",MANHATTAN,40.725616,-74.005253
"246 SPRING STREET NY, LLC",MANHATTAN,40.725616,-74.005253
"246 SPRING STREET NY, LLC",MANHATTAN,40.725616,-74.005253
TSOHO 2102 CORP.,MANHATTAN,40.725616,-74.005253
BAYROCK/SAPIR ORGANIZATION LLC,MANHATTAN,40.725616,-74.005253
BAYROCK/SAPIR ORGANIZATION LLC,MANHATTAN,40.725616,-74.005253
BAYROCK/SAPIR ORGANIZATION LLC,MANHATTAN,40.725616,-74.005253
BAYROCK/SAPIR ORGANIZATION LLC,MANHATTAN,40.725616,-74.005253
DLJ MORTGAGE CAPITAL INC,MANHATTAN,40.725616,-74.005253
BAYROCK/SAPIR ORGANIZATION LLC,MANHATTAN,40.725616,-74.005253
BAYROCK/SAPIR ORGANIZATION LLC,MANHATTAN,40.725616,-74.005253
BAYROCK/SAPIR ORGANIZATION LLC,MANHATTAN,40.725616,-74.005253
BAYROCK/SAPIR ORGANIZATION LLC,MANHATTAN,40.725616,-74.005253
BAYROCK/SAPIR ORGANIZATION LLC,MANHATTAN,40.725616,-74.005253
BAYROCK/SAPIR ORGANIZATION LLC,MANHATTAN,40.725616,-74.005253
BAYROCK/SAPIR ORGANIZATION LLC,MANHATTAN,40.725616,-74.005253
SOHO 2205 LLC,MANHATTAN,40.725616,-74.005253
TSOHO 2206 CORP.,MANHATTAN,40.725616,-74.005253
BAYROCK/SAPIR ORGANIZATION LLC,MANHATTAN,40.725616,-74.005253
BAYROCK/SAPIR ORGANIZATION LLC,MANHATTAN,40.725616,-74.005253
BAYROCK/SAPIR ORGANIZATION LLC,MANHATTAN,40.725616,-74.005253
BAYROCK/SAPIR ORGANIZATION LLC,MANHATTAN,40.725616,-74.005253
BAYROCK/SAPIR ORGANIZATION LLC,MANHATTAN,40.725616,-74.005253
BAYROCK/SAPIR ORGANIZATION LLC,MANHATTAN,40.725616,-74.005253
BAYROCK/SAPIR ORGANIZATION LLC,MANHATTAN,40.725616,-74.005253
"SOMA, YORIKO",MANHATTAN,40.725616,-74.005253
DONG IL CORP.,MANHATTAN,40.725616,-74.005253
BAYROCK/SAPIR ORGANIZATION LLC,MANHATTAN,40.725616,-74.005253
BAYROCK/SAPIR ORGANIZATION LLC,MANHATTAN,40.725616,-74.005253
TSOHO 2102 CORP.,MANHATTAN,40.725616,-74.005253
BAYROCK/SAPIR ORGANIZATION LLC,MANHATTAN,40.725616,-74.005253
SOHO 2308 LLC,MANHATTAN,40.725616,-74.005253
BAYROCK/SAPIR ORGANIZATION LLC,MANHATTAN,40.725616,-74.005253
BAYROCK/SAPIR ORGANIZATION LLC,MANHATTAN,40.725616,-74.005253
BAYROCK/SAPIR ORGANIZATION LLC,MANHATTAN,40.725616,-74.005253
BAYROCK/SAPIR ORGANIZATION LLC,MANHATTAN,40.725616,-74.005253
BAYROCK/SAPIR ORGANIZATION LLC,MANHATTAN,40.725616,-74.005253
"HASSOMAL, MOHINANI HARRY",MANHATTAN,40.725616,-74.005253
SOHO 2403 CORP.,MANHATTAN,40.725616,-74.005253
BAYROCK/SAPIR ORGANIZATION LLC,MANHATTAN,40.725616,-74.005253
BAYROCK/SAPIR ORGANIZATION LLC,MANHATTAN,40.725616,-74.005253
"HASSOMAL, MOHINANI HARRY",MANHATTAN,40.725616,-74.005253
BAYROCK/SAPIR ORGANIZATION LLC,MANHATTAN,40.725616,-74.005253
BAYROCK/SAPIR ORGANIZATION LLC,MANHATTAN,40.725616,-74.005253
BAYROCK/SAPIR ORGANIZATION LLC,MANHATTAN,40.725616,-74.005253
BAYROCK/SAPIR ORGANIZATION LLC,MANHATTAN,40.725616,-74.005253
BAYROCK/SAPIR ORGANIZATION LLC,MANHATTAN,40.725616,-74.005253
BAYROCK/SAPIR ORGANIZATION LLC,MANHATTAN,40.725616,-74.005253
BAYROCK/SAPIR ORGANIZATION LLC,MANHATTAN,40.725616,-74.005253
BAYROCK/SAPIR ORGANIZATION LLC,MANHATTAN,40.725616,-74.005253
SOHO 2503 CORP.,MANHATTAN,40.725616,-74.005253
JAPI HOLDINGS USA INC.,MANHATTAN,40.725616,-74.005253
BAYROCK/SAPIR ORGANIZATION LLC,MANHATTAN,40.725616,-74.005253
"KIM, HONGMIN",MANHATTAN,40.725616,-74.005253
BAYROCK/SAPIR ORGANIZATION LLC,MANHATTAN,40.725616,-74.005253
BAYROCK/SAPIR ORGANIZATION LLC,MANHATTAN,40.725616,-74.005253
BAYROCK/SAPIR ORGANIZATION LLC,MANHATTAN,40.725616,-74.005253
BAYROCK/SAPIR ORGANIZATION LLC,MANHATTAN,40.725616,-74.005253
BAYROCK/SAPIR ORGANIZATION LLC,MANHATTAN,40.725616,-74.005253
BAYROCK/SAPIR ORGANIZATION LLC,MANHATTAN,40.725616,-74.005253
BAYROCK/SAPIR ORGANIZATION LLC,MANHATTAN,40.725616,-74.005253
BAYROCK/SAPIR ORGANIZATION LLC,MANHATTAN,40.725616,-74.005253
"RANGIE SOHO, INC.",MANHATTAN,40.725616,-74.005253
"ZHU, JIAYIN",MANHATTAN,40.725616,-74.005253
BAYROCK/SAPIR ORGANIZATION LLC,MANHATTAN,40.725616,-74.005253
SOHO 2606 CORP.,MANHATTAN,40.725616,-74.005253
BAYROCK/SAPIR ORGANIZATION LLC,MANHATTAN,40.725616,-74.005253
"KIM, YOO LI",MANHATTAN,40.725616,-74.005253
BAYROCK/SAPIR ORGANIZATION LLC,MANHATTAN,40.725616,-74.005253
BAYROCK/SAPIR ORGANIZATION LLC,MANHATTAN,40.725616,-74.005253
"246 SPRING STREET NY, LLC",MANHATTAN,40.725616,-74.005253
BAYROCK/SAPIR ORGANIZATION LLC,MANHATTAN,40.725616,-74.005253
BAYROCK/SAPIR ORGANIZATION LLC,MANHATTAN,40.725616,-74.005253
"HOUSING IMON CO., LTD.",MANHATTAN,40.725616,-74.005253
SOHO 2703 CORP.,MANHATTAN,40.725616,-74.005253
BAYROCK/SAPIR ORGANIZATION LLC,MANHATTAN,40.725616,-74.005253
BAYROCK/SAPIR ORGANIZATION LLC,MANHATTAN,40.725616,-74.005253
"EQUITY TRUST COMPANY, DBA STERLING TRUST",MANHATTAN,40.725616,-74.005253
BAYROCK/SAPIR ORGANIZATION LLC,MANHATTAN,40.725616,-74.005253
SOHO 2708 LLC,MANHATTAN,40.725616,-74.005253
BAYROCK/SAPIR ORGANIZATION LLC,MANHATTAN,40.725616,-74.005253
MARRAKECH GRAND PRIX LLC,MANHATTAN,40.725616,-74.005253
SOHO 2711 LLC,MANHATTAN,40.725616,-74.005253
BAYROCK/SAPIR ORGANIZATION LLC,MANHATTAN,40.725616,-74.005253
BAYROCK/SAPIR ORGANIZATION LLC,MANHATTAN,40.725616,-74.005253
"IIDA, KYOJI",MANHATTAN,40.725616,-74.005253
SOHO 2803 LLC,MANHATTAN,40.725616,-74.005253
SCHILTRON USA CORP.,MANHATTAN,40.725616,-74.005253
BAYROCK/SAPIR ORGANIZATION LLC,MANHATTAN,40.725616,-74.005253
SOHO 2806 CORP.,MANHATTAN,40.725616,-74.005253
BAYROCK/SAPIR ORGANIZATION LLC,MANHATTAN,40.725616,-74.005253
BAYROCK/SAPIR ORGANIZATION LLC,MANHATTAN,40.725616,-74.005253
BAYROCK/SAPIR ORGANIZATION LLC,MANHATTAN,40.725616,-74.005253
BAYROCK/SAPIR ORGANIZATION LLC,MANHATTAN,40.725616,-74.005253
CODIGO POSTAL NEW YORK LLC,MANHATTAN,40.725616,-74.005253
SOHO 2812 CORP.,MANHATTAN,40.725616,-74.005253
BAYROCK/SAPIR ORGANIZATION LLC,MANHATTAN,40.725616,-74.005253
BAYROCK/SAPIR ORGANIZATION LLC,MANHATTAN,40.725616,-74.005253
"UNIT 2903 TRUMP SOHO, LLC",MANHATTAN,40.725616,-74.005253
"SHU, WENDY GU",MANHATTAN,40.725616,-74.005253
"CHOI, WILLIAM",MANHATTAN,40.725616,-74.005253
SOHO 2906 LLC,MANHATTAN,40.725616,-74.005253
BAYROCK/SAPIR ORGANIZATION LLC,MANHATTAN,40.725616,-74.005253
